name,poster_path,kinopoisk_id,rate,metric
Ночной замес,https://imagetmdb.cub.red/t/p/w500/eClvIv62Ij5KMLz2Gl3vZrQnkD9.jpg,5463493,5.6,0.8052434456928839
Взрывные котята,https://imagetmdb.cub.red/t/p/w500/dCpccydNehmGroAONf1mM9FTaOQ.jpg,5098077,7.4,0.8045977011494253
Тайная любовь Казановы,https://imagetmdb.cub.red/t/p/w500/cwOOlN5cFATjqcm9Y5eqz4tSPBA.jpg,1428584,7.2,0.8035714285714286
Замри,https://imagetmdb.cub.red/t/p/w500/nr6s9QZUKFpJgVlt5m6g7JQNdEx.jpg,6138532,5.9,0.8009153318077803
На краю Земли,https://imagetmdb.cub.red/t/p/w500/hEsEUsLsTRDwnlpytKLMoCs7TTB.jpg,4963154,7.1,0.7969483568075117
Месье Азнавур,https://imagetmdb.cub.red/t/p/w500/jRF1tVV9EbTG7hJLQ7BJ9eycBvU.jpg,5503500,7.8,0.7959183673469388
Папуля,https://imagetmdb.cub.red/t/p/w500/9jV7hztBXgYuG12u6PWWDCSdH0A.jpg,1062960,7.3,0.7946768060836502
Папа,https://imagetmdb.cub.red/t/p/w500/sFy7XSOmr8x2nCRP9Z00UymLK6F.jpg,5070018,6.3,0.7872340425531915
Меган: К вашим услугам,https://imagetmdb.cub.red/t/p/w500/oGoQ5W5Zxo55hbqCu1PsqEmQJIX.jpg,5237443,5.7,0.7842696629213484
Конклав,https://imagetmdb.cub.red/t/p/w500/gwDFcTXzVz5N2ulSsckDisMVghq.jpg,4987361,7.0,0.7811355311355311
Большая гонка. Ауди против Лянчи,https://imagetmdb.cub.red/t/p/w500/l7HMoW8P8mMl7OsT0NtAltTD5ke.jpg,4965334,6.8,0.7798408488063661
В плену стихии,https://imagetmdb.cub.red/t/p/w500/4QHKxf23OIgzHTsHu5OR1Mn6SRb.jpg,792166,7.4,0.7763157894736842
Женщины в синем,https://imagetmdb.cub.red/t/p/w500/dMuWi3E6fAYGvRo9eofxRNTKNcW.jpg,5051286,7.1,0.7741935483870968
Лучше всех,https://imagetmdb.cub.red/t/p/w500/6K8HkMOKALJclsj3kx3yrnxELOC.jpg,5600641,6.4,0.7734375
Аферисты из Токио,https://imagetmdb.cub.red/t/p/w500/fUCOHbfYDQv4YWldDMf7BLFT9Rw.jpg,5901885,7.0,0.7721518987341772
Эмма в мире лам,https://imagetmdb.cub.red/t/p/w500/x1zZnDu0Y0JdozO8tnVuG8Ua1aX.jpg,5458451,6.2,0.7714285714285715
Высокое напряжение,https://imagetmdb.cub.red/t/p/w500/57F7AVuYOoOlDKMeJfJQu3FrlOG.jpg,4847267,6.3,0.77
Ти-Рекс. Король динозавров,https://imagetmdb.cub.red/t/p/w500/dXha1ujfNyQ6EhFx9aFyOnQTyhu.jpg,5460684,4.6,0.7672413793103449
